Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230093087-23H,230093087,11/29/2023,THEFT,11/25/2023 12:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,2600 S HULEN ST,FORT WORTH,TX,K15,West,3,C,20,20 RESIDENCE/HOME,"(32.71258662846602, -97.38590997734812)"
230092903-90Z,230092903,11/29/2023,HARASS,11/15/2023 18:00,90Z,PC 42.07(C) Harassment,4700 WELLESLEY AVE,FORT WORTH,Te,K14,West,3,C,20,20 RESIDENCE/HOME,"(32.725046852124514, -97.38995614778365)"
230091183-09A,230091183,11/22/2023,MURDER,11/22/2023 0:00,09A,PC 19.02(c) Murder,NE 36TH ST / N HARDING STREET,FORT WORTH,Te,C14,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230094051-23F,230094051,12/2/2023,BURGLARY VEHICLE,11/30/2023 19:00,23F,PC 30.04(A) Burglary Vehicle,5700 WESTGATE DR,FORT WORTH,TX,D14,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.835039094755395, -97.41298260427493)"
230093009-220,230093009,11/29/2023,BURGLARY RESIDENTIAL,11/29/2023 0:00,220,PC 30.02(C)(2) Burglary Habitation,2800 NW 26TH ST,FORT WORTH,Te,D12,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.798055524242436, -97.38016032526555)"
230092912-90Z,230092912,11/29/2023,PUBLIC INTOXICATION,11/29/2023 2:40,90Z,GC 080 Public Intoxication,2300 N MAIN ST,FORT WORTH,Te,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.787333709220945, -97.34925645586857)"
230324180-23C,230324180,11/30/2023,THEFT,11/30/2023 10:40,23C,GC  085-07 Theft under $100- Shoplifting,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230094128-13B,230094128,12/3/2023,AG ASSAULT,12/3/2023 1:00,13B,PC 22.01(b)(2)(B) Assault BI Family member strang/,2300 RIDGMAR BLVD,FORT WORTH,TX,L11,West,3,C,20,20 RESIDENCE/HOME,"(32.73736055269697, -97.42491789298019)"
230094050-35A,230094050,12/3/2023,THEFT,12/2/2023 18:30,35A,HSC 481.115(B) Poss CS PG 1 <1G,7400 MC CART AVE,FORT WORTH,Te,J17,South,6,C,8,08 DEPARTMENT/DISCOUNT STORE,
230093933-290,230093933,12/2/2023,CRIMINAL MISCHIEF,12/2/2023 3:30,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,3900 GOLDEN HORN LN,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.611764896090634, -97.37997136465944)"
230323589-23F,230323589,11/15/2023,BURGLARY VEHICLE,11/14/2023 22:50,23F,PC 30.04(A) Burglary Vehicle,1400 E ARLINGTON AVE,FORT WORTH,TX,B15,Central,8,C,3,03 BAR/NIGHT CLUB,
230092249-290,230092249,11/26/2023,CRIMINAL MISCHIEF,11/26/2023 20:00,290,GC 039 Criminal Mischief under $100/Subst Inconven,3200 RIVER LODGE TRL S,FORT WORTH,TX,L13,West,3,C,20,20 RESIDENCE/HOME,"(32.700371412258555, -97.41822623711667)"
230092923-240,230092923,11/29/2023,AUTO THEFT,11/28/2023 18:00,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,1100 CLECKLER AVE,FORT WORTH,Te,A13,Central,11,C,20,20 RESIDENCE/HOME,"(32.778901151156006, -97.30052043181459)"
230324088-23C,230324088,11/28/2023,THEFT,11/28/2023 19:58,23C,GC  085-07 Theft under $100- Shoplifting,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230092984-23H,230092984,11/29/2023,THEFT,11/29/2023 10:03,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,2800 LAS VEGAS TRL,FORT WORTH,Te,L15,West,3,C,20,20 RESIDENCE/HOME,"(32.73514127044438, -97.46660963021786)"
230093307-370,230093307,11/30/2023,PENAL CODE,11/30/2023 9:56,370,PC 21.16(g) PUBLISH/THREAT TO PUBLISH INTIMATE VIS,700 MEXICALI WAY,FORT WORTH,Te,F15,North,10,C,20,20 RESIDENCE/HOME,"(32.984961820447865, -97.37327083293377)"
230092711-23H,230092711,11/28/2023,THEFT RECYCLE,11/28/2023 0:00,23H,PC 31.03(E)(5) Theft>=$20k<$100k,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.68740894175712, -97.32079903844469)"
230092228-240,230092228,11/26/2023,AUTO THEFT,11/25/2023 18:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,5500 BOCA RATON BLVD,FORT WORTH,Te,H11,East,5,C,20,20 RESIDENCE/HOME,"(32.76416855982972, -97.23713946494469)"
230324070-23F,230324070,11/13/2023,BURGLARY VEHICLE,11/12/2023 13:00,23F,PC 30.04(A) Burglary Vehicle,3600 SYCAMORE SCHOOL RD,FORT WORTH,TX,J17,South,6,C,12,12 GROCERY/SUPERMARKET,"(32.634791989595776, -97.37246013766385)"
230092626-240,230092626,11/28/2023,AUTO THEFT,11/27/2023 23:56,240,PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,4800 KELLER HASLET RD,FORT WORTH,Te,F11,North,10,C,19,19 RENTAL STORAGE FACILITY,"(32.963491220253104, -97.25286857027524)"
230093842-13B,230093842,12/1/2023,ASSAULT C,12/1/2023 21:27,13B,GC 088-03 Assault by Offensive Contact Family or D,5100 PARIS ST,FORT WORTH,TX,I13,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.683466095661736, -97.27673803383064)"
230324103-220,230324103,11/29/2023,BURGLARY RESIDENTIAL,11/21/2023 8:45,220,PC 30.02(C)(2) Burglary Habitation,7600 WHISTERWHEEL WAY,FORT WORTH,TX,K19,West,6,C,20,20 RESIDENCE/HOME,"(32.635823259457965, -97.4256193470803)"
230093008-240,230093008,11/29/2023,AUTO THEFT,11/28/2023 19:35,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,6300 HULEN BEND CT,FORT WORTH,Te,K18,West,6,A,18,18 PARKING LOT/GARAGE,"(32.657125451587824, -97.40440376949384)"
230093319-240,230093319,11/30/2023,AUTO THEFT,11/29/2023 23:00,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,6100 AMELIA AVE,FORT WORTH,Te,K19,West,6,C,18,18 PARKING LOT/GARAGE,"(32.64324288199645, -97.42266872209386)"
230093029-290,230093029,11/29/2023,CRIMINAL MISCHIEF,11/27/2023 3:00,290,GC 039 Criminal Mischief under $100/Subst Inconven,2700 HAYSTACK BLVD,FORT WORTH,TX,L15,West,3,C,20,20 RESIDENCE/HOME,"(32.736815015647274, -97.45664085978197)"
230093211-90Z,230093211,11/30/2023,HARASS,11/30/2023 0:02,90Z,PC 42.07(C) Harassment,4900 HILLSIDE AVE,FORT WORTH,Te,I14,South,11,C,20,20 RESIDENCE/HOME,"(32.690471284378724, -97.25917792400783)"
230324119-23H,230324119,11/29/2023,THEFT,11/28/2023 8:48,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.68740894175712, -97.32079903844469)"
230093767-240,230093767,12/1/2023,AUTO THEFT,11/30/2023 23:00,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,3000 DEEN RD,FORT WORTH,Te,C12,Northwest,2,A,20,20 RESIDENCE/HOME,
230094050-90Z,230094050,12/3/2023,THEFT,12/2/2023 18:30,90Z,PC 38.02(C)(2) Fail ID Giving False/Fic Info,7400 MC CART AVE,FORT WORTH,Te,J17,South,6,C,8,08 DEPARTMENT/DISCOUNT STORE,
230094050-23H,230094050,12/3/2023,THEFT,12/2/2023 18:30,23H,PC 31.03(E)(4)(D) Theft Property <$2500 2/more pre,7400 MC CART AVE,FORT WORTH,Te,J17,South,6,C,8,08 DEPARTMENT/DISCOUNT STORE,
230094215-23F,230094215,12/3/2023,AUTO THEFT,12/1/2023 19:30,23F,PC 30.04(A) Burglary Vehicle,5500 HIDDEN CREEK CIR,FORT WORTH,Te,L13,West,3,C,18,18 PARKING LOT/GARAGE,"(32.69442543205048, -97.41375011458463)"
230095875-35B,230095875,12/9/2023,NARCOTIC VIOLATIONS,12/9/2023 4:15,35B,GC 084 Possession of Drug Paraphenalia,300 NW 23RD ST,FORT WORTH,Te,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.786325628885436, -97.3516977349)"
230095432-13A,230095432,12/7/2023,AG ASSAULT,12/7/2023 14:33,13A,PC 22.02(a)(2) Aggravated Assault with Deadly Weap,EASTCHASE PKWY & JOHN T WHITE RD,FORT WORTH,Te,H12,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230324375-23H,230324375,12/5/2023,THEFT,11/25/2023 2:58,23H,PC 31.20(c)(1) Theft-Mail = 10<30 addresses,6000 OAKLAND HILLS DR,FORT WORTH,TX,H11,East,5,C,20,20 RESIDENCE/HOME,"(32.763813480197115, -97.22610144457407)"
230094405-290,230094405,12/4/2023,CRIMINAL MISCHIEF,12/3/2023 22:30,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,10300 ROSEGREEN LN,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.596961992210574, -97.41039370759357)"
230095563-13B,230095563,12/7/2023,ASSAULT,12/7/2023 0:00,13B,PC 22.01(a)(1) Assault Causes Bodily injury  Famil,1900 E SEMINARY DR,FORT WORTH,TX,I12,South,8,C,20,20 RESIDENCE/HOME,"(32.684578361795886, -97.30467308643027)"
230094977-290,230094977,12/5/2023,CRIMINAL MISCHIEF,12/5/2023 22:10,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,1900 WILLOW VALE DR,FORT WORTH,TX,I18,South,8,C,20,20 RESIDENCE/HOME,"(32.630697198266894, -97.34618505514058)"
230095173-220,230095173,12/6/2023,BURGLARY COMMERCIAL,12/5/2023 23:00,220,PC 30.02(C)(1) Burglary of building,1400 HENDERSON ST,FORT WORTH,TX,A16,Central,9,C,37,37 ABANDONED/CONDEMNED STRUCTURE,"(32.744900378274785, -97.337481937522)"
230095821-23F,230095821,12/8/2023,BURGLARY VEHICLE,12/7/2023 20:00,23F,PC 30.04(A) Burglary Vehicle,3200 ALTA VIEW ST,FORT WORTH,TX,C12,Northwest,11,A,20,20 RESIDENCE/HOME,"(32.803872443879335, -97.29899697792419)"
230094829-240,230094829,12/5/2023,AUTO THEFT,12/5/2023 0:00,240,PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,600 W BOLT ST,FORT WORTH,Te,J11,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.688583499603254, -97.33123055118007)"
230324523-23H,230324523,11/25/2023,THEFT,11/21/2023 8:00,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,9100 FESCUE DR,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.887020230475976, -97.39539815546685)"
230094655-26F,230094655,12/4/2023,FRAUD,11/21/2023 0:00,26F,PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,6300 NORTH FWY,FORT WORTH,TX,E11,North,2,C,14,14 HOTEL/MOTEL/ETC.,"(32.857395661980014, -97.3140236267527)"
230096140-TRC,230096140,12/10/2023,TRAFFIC CODE,12/10/2023 3:40,TRC,TRC 550.021(c)(2) Collision involving injury,6100 WEST FWY,FORT WORTH,Te,L11,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.734798968195314, -97.41594647676078)"
230094455-13B,230094455,12/4/2023,ASSAULT,12/3/2023 11:00,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,400 LIPSCOMB ST,FORT WORTH,Te,B11,Central,9,C,20,20 RESIDENCE/HOME,"(32.740588383072144, -97.33328551308486)"
230095718-23H,230095718,12/8/2023,THEFT RECYCLE,12/8/2023 3:07,23H,PC 31.03(E)(4)(F) Thft  Mat Alum/Brnz/Cop/Brass<20,3800 NORTHEAST LOOP 820 FWY,FORT WORTH,Te,C15,Northwest,2,C,21,21 RESTAURANT,"(32.839223893372406, -97.29221466100384)"
230095802-240,230095802,12/8/2023,AUTO THEFT,12/7/2023 0:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,1400 WHITTENBURG DR,FORT WORTH,Te,I16,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.644451282674574, -97.34060706153673)"
230094564-13C,230094564,12/4/2023,ASSAULT BY THREAT,12/4/2023 14:00,13C,GC 088 Assault by threat-Class C,9100 OLD CLYDESDALE DR,FORT WORTH,Te,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.608866658354536, -97.38443482220049)"
230095173-290,230095173,12/6/2023,BURGLARY COMMERCIAL,12/5/2023 23:00,290,PC 28.03(b)(4)(A) Criminal Mischief >=$2500<$30K,1400 HENDERSON ST,FORT WORTH,TX,A16,Central,9,C,37,37 ABANDONED/CONDEMNED STRUCTURE,"(32.744900378274785, -97.337481937522)"
230324357-23H,230324357,12/5/2023,THEFT,12/3/2023 12:30,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,700 MAIN ST,FORT WORTH,TX,A15,Central,9,C,21,21 RESTAURANT,"(32.753163827539005, -97.33033068667585)"
230324374-290,230324374,12/5/2023,THEFT,11/9/2023 5:58,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,6000 OAKLAND HILLS DR,FORT WORTH,TX,H11,East,5,C,20,20 RESIDENCE/HOME,"(32.763813480197115, -97.22610144457407)"
230094312-90Z,230094312,12/3/2023,PENAL CODE,12/3/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230324502-23H,230324502,12/8/2023,THEFT,12/8/2023 12:30,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,3300 BROWNING CT,FORT WORTH,TX,A13,Central,11,C,20,20 RESIDENCE/HOME,"(32.78722315489442, -97.29864545510118)"
230095295-240,230095295,12/7/2023,AUTO THEFT,12/7/2023 6:13,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,2500 BRECCIA DR,FORT WORTH,Te,L17,West,7,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73662195750795, -97.51250205239738)"
230324270-23F,230324270,12/3/2023,BURGLARY VEHICLE,11/26/2023 18:40,23F,PC 30.04(A) Burglary Vehicle,3000 SOUTH FWY,FORT WORTH,TX,B17,Central,8,C,18,18 PARKING LOT/GARAGE,"(32.70714577419497, -97.32044333328075)"
230094627-290,230094627,12/4/2023,CRIMINAL MISCHIEF,12/4/2023 18:25,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,4400 CAMPUS DR,FORT WORTH,Te,I15,South,8,C,25,25 OTHER/UNKNOWN,"(32.682857714607486, -97.29587435434992)"
230094355-23F,230094355,12/4/2023,BURGLARY VEHICLE COMMERCI,12/4/2023 1:20,23F,PC 30.04(A) Burglary Vehicle,2900 WILKINSON AVE,FORT WORTH,TX,G11,East,11,C,20,20 RESIDENCE/HOME,"(32.744787421713376, -97.28386334597738)"
230324366-290,230324366,12/5/2023,CRIMINAL MISCHIEF,12/2/2023 19:00,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,400 CHICAGO AVE,FORT WORTH,TX,G14,East,11,C,20,20 RESIDENCE/HOME,"(32.73983129542161, -97.26526448798522)"
230094215-240,230094215,12/3/2023,AUTO THEFT,12/1/2023 19:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,5500 HIDDEN CREEK CIR,FORT WORTH,Te,L13,West,3,A,18,18 PARKING LOT/GARAGE,"(32.69442543205048, -97.41375011458463)"
230094652-23C,230094652,12/4/2023,THEFT,12/4/2023 20:02,23C,PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.68740894175712, -97.32079903844469)"
230094370-13B,230094370,12/4/2023,ASSAULT,12/4/2023 1:21,13B,PC 22.01(a)(1) Assault Causes Bodily injury  Famil,800 HOUSE ST,FORT WORTH,TX,G14,East,11,C,20,20 RESIDENCE/HOME,"(32.73481518968623, -97.24789907601199)"
230324526-23H,230324526,12/9/2023,THEFT,12/7/2023 13:35,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,6300 OVERTON RIDGE BLVD,FORT WORTH,TX,K19,West,3,C,20,20 RESIDENCE/HOME,"(32.679785930368034, -97.42013549657436)"
230094997-23F,230094997,12/6/2023,BURGLARY VEHICLE,12/6/2023 4:00,23F,PC 30.04(D)(2)(A) BURGLARY OF VEHICLE W/2+ CONV IA,2200 HUDSON ST,FORT WORTH,Te,B13,Central,8,C,20,20 RESIDENCE/HOME,"(32.74666222775317, -97.29120977737503)"
230324381-26F,230324381,12/6/2023,FRAUD,12/1/2023 11:30,26F,PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,3400 N TARRANT PKWY,FORT WORTH,TX,E14,North,4,C,7,07 CONVENIENCE STORE,"(32.896166411900225, -97.30858473577527)"
230095835-90Z,230095835,12/8/2023,PENAL CODE,12/8/2023 0:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,9200 NICKEL CREEK DR,FORT WORTH,Te,F16,North,10,C,20,20 RESIDENCE/HOME,"(32.90516949273858, -97.36118232201872)"
230094405-23F,230094405,12/4/2023,CRIMINAL MISCHIEF,12/3/2023 22:30,23F,PC 30.04(A) Burglary Vehicle,10300 ROSEGREEN LN,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.596961992210574, -97.41039370759357)"
230095096-90Z,230095096,12/6/2023,PENAL CODE,8/15/2023 16:35,90Z,PC 36.05 Tamper W/Witness,2400 MCADOO LN,FORT WORTH,TX,E11,North,2,C,20,20 RESIDENCE/HOME,"(32.850938326424675, -97.326459277767)"
230096071-240,230096071,12/9/2023,AUTO THEFT,12/9/2023 0:00,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,900 E MADDOX AVE,FORT WORTH,TX,B15,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.726974623749655, -97.31780757475839)"
230094356-13A,230094356,12/4/2023,AG ASSAULT,12/4/2023 1:15,13A,PC 22.02(a)(1)  Aggravated Assault causes serious,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,20,20 RESIDENCE/HOME,"(32.756409401493336, -97.19846593052776)"
230095301-23F,230095301,12/7/2023,BURGLARY VEHICLE,12/6/2023 19:00,23F,PC 30.04(A) Burglary Vehicle,4600 CITYLAKE BLVD W,FORT WORTH,TX,K18,West,6,C,18,18 PARKING LOT/GARAGE,"(32.682446111125344, -97.41212223069428)"
230094817-23H,230094817,12/5/2023,THEFT,12/4/2023 19:42,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,2000 N SYLVANIA AVE,FORT WORTH,Te,A12,Central,11,C,2,02 BANK/SAVINGS AND LOAN,"(32.788869486705224, -97.30851784910331)"
230094448-290,230094448,12/4/2023,CRIMINAL MISCHIEF,12/1/2023 17:30,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,ALEMEDA ST & WEST LOOP 820 SOUTH NB IH 30 WB RAMP,FORT WORTH,Te,L17,West,7,C,6,06 CONSTRUCTION SITE,
230095099-23F,230095099,12/6/2023,BURGLARY VEHICLE,12/6/2023 10:30,23F,PC 71.02 BMV EOC/Burglary Motor Veh,2200 TRINITY PARK DR,FORT WORTH,TX,K12,West,9,C,18,18 PARKING LOT/GARAGE,"(32.74843291285292, -97.35148858183662)"
230095194-290,230095194,12/6/2023,PENAL CODE,12/6/2023 14:05,290,PC 28.04 Reckless Damage or Destruction,2500 E IH 20 FWY,FORT WORTH,Te,I15,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.663982291563606, -97.28930606996461)"
230096922-13B,230096922,12/12/2023,ASSAULT,12/12/2023 0:00,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,2700 LAS VEGAS TRL,FORT WORTH,Te,L16,West,3,C,18,18 PARKING LOT/GARAGE,
230090806-240,230090806,11/20/2023,AUTO THEFT,11/20/2023 22:15,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,3700 YUCCA AVE,FORT WORTH,Te,A13,Central,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230095693-23H,230095693,12/8/2023,THEFT,12/4/2023 15:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,5200 SHADYDELL DR,FORT WORTH,TX,D14,Northwest,2,C,6,06 CONSTRUCTION SITE,
230095772-13A,230095772,12/8/2023,AG ASSAULT,12/8/2023 15:30,13A,PC 22.01(b)(2)(B) Assault BI Fam Mem Strangl/imped,3800 TANACROSS DR,FORT WORTH,Te,C15,Northwest,2,C,25,25 OTHER/UNKNOWN,
230324801-23H,230324801,12/16/2023,THEFT,12/16/2023 5:40,23H,GC  085-07 Theft under $100,200 W THORNHILL DR,FORT WORTH,TX,I15,South,9,C,54,54 SHELTER-MISSION/HOMELESS,"(32.68334785158995, -97.32680646257505)"
230094317-520,230094317,12/3/2023,WEAPONS,12/3/2023 20:56,520,PC 46.04(e) UNL POSS FIREARM BY FELON,1400 W BOLT ST,FORT WORTH,Te,J11,South,11,C,50,50 PARK/PLAYGROUND,
230095772-13C,230095772,12/8/2023,AG ASSAULT,12/8/2023 15:30,13C,PC 25.07 G Violation of Bond/Protective Order,3800 TANACROSS DR,FORT WORTH,Te,C15,Northwest,2,C,25,25 OTHER/UNKNOWN,
230092165-240,230092165,11/26/2023,THEFT,11/26/2023 12:50,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,300 CARROLL ST,FORT WORTH,Te,K12,West,9,C,8,08 DEPARTMENT/DISCOUNT STORE,
230094317-35A,230094317,12/3/2023,WEAPONS,12/3/2023 20:56,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,1400 W BOLT ST,FORT WORTH,Te,J11,South,11,C,50,50 PARK/PLAYGROUND,
230095772-13B,230095772,12/8/2023,AG ASSAULT,12/8/2023 15:30,13B,PC 22.01(a)(1) Assault Causes Bodily injury  Famil,3800 TANACROSS DR,FORT WORTH,Te,C15,Northwest,2,C,25,25 OTHER/UNKNOWN,
230096037-13A,230096037,12/9/2023,AG ASSAULT,12/9/2023 17:30,13A,PC 22.02(a)(2) Aggravated Assault with Deadly Weap,2500 NE 28TH ST,FORT WORTH,TX,C12,Northwest,11,C,23,23 SERVICE/GAS STATION,
230095814-120,230095814,12/8/2023,ROBBERY PERSON,12/8/2023 19:08,120,PC 29.03 Agg Robbery,1100 OHIO GARDEN RD,FORT WORTH,Te,C16,Northwest,2,C,10,10 FIELD/WOODS,
230095421-23H,230095421,12/7/2023,THEFT,12/5/2023 10:29,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,8500 N BEACH ST,FORT WORTH,TX,E15,North,4,C,20,20 RESIDENCE/HOME,
230324655-23F,230324655,12/12/2023,BURGLARY VEHICLE,11/20/2023 23:00,23F,PC 30.04(A) Burglary Vehicle,700 MAIN ST,FORT WORTH,TX,A15,Central,9,C,18,18 PARKING LOT/GARAGE,"(32.753163827539005, -97.33033068667585)"
230324680-23H,230324680,12/13/2023,THEFT,12/8/2023 20:45,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,7000 ANDERSON BLVD,FORT WORTH,TX,H13,East,5,C,20,20 RESIDENCE/HOME,"(32.762255379980644, -97.20423798470037)"
230098158-13B,230098158,12/17/2023,ASSAULT,12/17/2023 0:00,13B,PC 22.01(a)(1) Assault Causes Bodily injury  Famil,900 E HUMBOLT ST,FORT WORTH,TX,B12,Central,8,C,20,20 RESIDENCE/HOME,"(32.73477052135059, -97.31690824506866)"
230089542-TRC,230089542,12/14/2023,HIT AND RUN,11/16/2023 11:30,TRC,TV 049 Leaving Scene of Accident<$200 Damage,500 EAST LOOP 820 FWY,FORT WORTH,Te,H12,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.772789297933635, -97.21254448139274)"
230097276-WAR,230097276,12/14/2023,FAMILY,12/14/2023 0:00,WAR,OT WARRANT Out of Town Warrant,5100 WICHITA ST,FORT WORTH,TX,I13,South,11,C,7,07 CONVENIENCE STORE,"(32.685518569626154, -97.28028706155348)"
230097259-520,230097259,12/13/2023,WEAPONS,12/13/2023 22:43,520,PC 46.02(B) Unl Carrying Weapon / UCW,1600 W 7TH ST,FORT WORTH,Te,A16,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.751058422835314, -97.34256434878084)"
230096818-35A,230096818,12/12/2023,NARCOTIC VIOLATIONS,12/12/2023 10:00,35A,HSC 481.116(C) Poss CS PG 2 >=1G<4G,9700 MOTLEY DR,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.898215484433955, -97.41754029668293)"
230098140-90Z,230098140,12/16/2023,HARASS,12/16/2023 20:15,90Z,PC 42.07(C) Harassment,5700 ENGLISH OAK DR,FORT WORTH,Te,F11,North,10,C,20,20 RESIDENCE/HOME,"(32.948963739865036, -97.25849578820052)"
230096802-23F,230096802,12/12/2023,BURGLARY VEHICLE,12/12/2023 10:05,23F,PC 30.04(d) Burglary of Vehicles,TRINITY PARK DR,FORT WORTH,Te,K12,West,9,C,18,18 PARKING LOT/GARAGE,
230097305-290,230097305,12/14/2023,CRIMINAL MISCHIEF,12/14/2023 5:32,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,500 W ROSEDALE ST,FORT WORTH,TX,B11,Central,9,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.733199299522866, -97.3299496311312)"
230097798-23H,230097798,12/15/2023,THEFT,12/14/2023 20:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,4700 COLLINWOOD AVE,FORT WORTH,TX,K14,West,7,C,20,20 RESIDENCE/HOME,"(32.737611440563924, -97.38954714327059)"
230097332-90Z,230097332,12/14/2023,HARASS,12/10/2023 0:00,90Z,PC 42.07(C) Harassment,6400 BREEZE BAY PT,FORT WORTH,Te,E11,North,2,C,20,20 RESIDENCE/HOME,"(32.858935771297595, -97.3218044644522)"
230097869-90Z,230097869,12/15/2023,PENAL CODE,11/24/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,2500 BRUCE ST,FORT WORTH,Te,C12,Northwest,11,C,20,20 RESIDENCE/HOME,"(32.80096123321259, -97.31780210600084)"
230097611-90D,230097611,12/15/2023,DWI,12/15/2023 2:13,90D,PC 49.04 Driving While Intoxicated,4500 WEST FWY,FORT WORTH,Te,K14,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.732761266171615, -97.38655967920451)"
230097501-23C,230097501,12/14/2023,THEFT,12/14/2023 8:18,23C,PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft,4200 SOUTH FWY,FORT WORTH,Te,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
